,Player,Pos,Age,Tm,G,MP,PER,TS_pct,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG_pct,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS
0,Precious Achiuwa,PF,21,MIA,61,737,14.2,0.55,0.004,0.48200000000000004,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,0.0,0.3,1.0,1.3,0.085,0.0,-3.5,-0.9,-4.5,-0.5,124,228,0.544,0,1,0.0,124,227,0.546,0.544,56,110,0.509,73,135,208,29,20,28,43,91,304,4
1,Jaylen Adams,PG,24,MIL,7,18,-6.5,0.125,0.25,0.0,0.0,16.9,8.8,12.7,0.0,0.0,0.0,18.6,0.0,-0.1,0.0,-0.1,-0.252,0.0,-14.9,-5.0,-19.8,-0.1,1,8,0.125,0,2,0.0,1,6,0.16699999999999998,0.125,0,0,0.0,0,3,3,2,0,0,0,1,2,0
2,Steven Adams,C,27,NOP,58,1605,15.1,0.596,0.01,0.43799999999999994,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,0.0,2.3,1.7,4.0,0.11900000000000001,0.0,-0.3,-0.5,-0.8,0.5,189,308,0.614,0,3,0.0,189,305,0.62,0.614,60,135,0.444,213,301,514,111,54,38,78,113,438,58
3,Bam Adebayo,C,23,MIA,64,2143,22.7,0.626,0.01,0.44299999999999995,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,0.0,5.6,3.2,8.8,0.19699999999999998,0.0,2.9,1.9,4.7,3.6,456,800,0.57,2,8,0.25,454,792,0.573,0.5710000000000001,283,354,0.799,142,431,573,346,75,66,169,145,1197,64
4,LaMarcus Aldridge,C,35,TOT,26,674,15.7,0.556,0.27,0.159,3.0,15.8,9.4,11.0,0.8,3.7,7.9,22.2,0.0,0.5,0.6,1.1,0.08,0.0,-0.2,-0.4,-0.6,0.2,140,296,0.473,31,80,0.38799999999999996,109,216,0.505,0.525,41,47,0.872,19,99,118,49,11,29,27,47,352,23
5,Ty-Shon Alexander,SG,22,PHO,15,47,4.2,0.349,0.75,0.16699999999999998,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,0.0,-0.1,0.0,0.0,-0.048,0.0,-5.3,-1.6,-6.8,-0.1,3,12,0.25,2,9,0.222,1,3,0.33299999999999996,0.33299999999999996,1,2,0.5,2,8,10,6,0,1,3,2,9,0
6,Nickeil Alexander-Walker,SG,22,NOP,46,1007,12.5,0.522,0.478,0.14400000000000002,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,0.0,-0.3,1.0,0.7,0.035,0.0,-1.4,-0.2,-1.6,0.1,192,458,0.419,76,219,0.34700000000000003,116,239,0.485,0.502,48,66,0.727,13,131,144,102,47,22,69,88,508,13
7,Grayson Allen,SG,25,MEM,50,1259,12.8,0.586,0.662,0.22,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,0.0,1.5,1.2,2.7,0.10099999999999999,0.0,-0.4,-0.1,-0.5,0.5,173,414,0.418,107,274,0.391,66,140,0.47100000000000003,0.547,79,91,0.868,19,141,160,108,46,8,48,71,532,38
8,Jarrett Allen,C,22,TOT,63,1864,20.1,0.6609999999999999,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,0.0,4.3,2.1,6.4,0.166,0.0,1.4,-0.4,0.9,1.4,298,482,0.618,6,19,0.316,292,463,0.631,0.624,204,290,0.703,196,435,631,106,32,90,100,96,806,45
9,Al-Farouq Aminu,PF,30,TOT,23,434,8.9,0.469,0.374,0.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,0.0,-0.4,0.5,0.1,0.01,0.0,-5.0,1.0,-4.0,-0.2,38,99,0.384,8,37,0.21600000000000003,30,62,0.484,0.424,18,22,0.818,22,88,110,31,19,9,28,29,102,14
10,Kyle Anderson,PF,27,MEM,69,1887,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,0.0,2.9,2.7,5.6,0.14300000000000002,0.0,1.4,1.7,3.1,2.4,308,658,0.46799999999999997,94,261,0.36,214,397,0.539,0.54,144,184,0.7829999999999999,52,344,396,250,84,57,86,120,854,69
11,Giannis Antetokounmpo,PF,26,MIL,61,2013,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,0.0,6.9,3.3,10.2,0.244,0.0,6.2,2.6,8.8,5.5,626,1100,0.569,67,221,0.303,559,879,0.636,0.6,398,581,0.685,97,574,671,357,72,73,207,168,1717,61
12,Kostas Antetokounmpo,PF,23,LAL,15,56,0.0,0.382,0.0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,0.0,-0.3,0.1,-0.2,-0.174,0.0,-13.2,0.2,-13.0,-0.2,3,10,0.3,0,0,0.0,3,10,0.3,0.3,6,13,0.462,4,15,19,1,2,4,11,8,12,0
