Season,Lg,Tm,C,F,F,G,G
2019-20,NBA,1st,Anthony Davis,Giannis Antetokounmpo,LeBron James,James Harden,Luka Don?i?
2019-20,NBA,2nd,Nikola Joki?,Kawhi Leonard,Pascal Siakam,Damian Lillard,Chris Paul
2019-20,NBA,3rd,Rudy Gobert,Jayson Tatum,Jimmy Butler,Ben Simmons,Russell Westbrook
2018-19,NBA,1st,Nikola Joki?,Giannis Antetokounmpo,Paul George,James Harden,Stephen Curry
2018-19,NBA,2nd,Joel Embiid,Kevin Durant,Kawhi Leonard,Damian Lillard,Kyrie Irving
2018-19,NBA,3rd,Rudy Gobert,LeBron James,Blake Griffin,Kemba Walker,Russell Westbrook
2017-18,NBA,1st,Anthony Davis,LeBron James,Kevin Durant,Damian Lillard,James Harden
2017-18,NBA,2nd,Joel Embiid,Giannis Antetokounmpo,LaMarcus Aldridge,Russell Westbrook,DeMar DeRozan
2017-18,NBA,3rd,Karl-Anthony Towns,Jimmy Butler,Paul George,Stephen Curry,Victor Oladipo
2016-17,NBA,1st,Anthony Davis,LeBron James,Kawhi Leonard,James Harden,Russell Westbrook
2016-17,NBA,2nd,Rudy Gobert,Giannis Antetokounmpo,Kevin Durant,Stephen Curry,Isaiah Thomas
2016-17,NBA,3rd,DeAndre Jordan,Draymond Green,Jimmy Butler,John Wall,DeMar DeRozan
2015-16,NBA,1st,DeAndre Jordan,LeBron James,Kawhi Leonard,Stephen Curry,Russell Westbrook
2015-16,NBA,2nd,DeMarcus Cousins,Kevin Durant,Draymond Green,Chris Paul,Damian Lillard
2015-16,NBA,3rd,Andre Drummond,Paul George,LaMarcus Aldridge,Klay Thompson,Kyle Lowry
2014-15,NBA,1st,Marc Gasol,LeBron James,Anthony Davis,Stephen Curry,James Harden
2014-15,NBA,2nd,DeMarcus Cousins,Pau Gasol,LaMarcus Aldridge,Russell Westbrook,Chris Paul
2014-15,NBA,3rd,DeAndre Jordan,Blake Griffin,Tim Duncan,Klay Thompson,Kyrie Irving
2013-14,NBA,1st,Joakim Noah,Kevin Durant,LeBron James,James Harden,Chris Paul
2013-14,NBA,2nd,Dwight Howard,Blake Griffin,Kevin Love,Stephen Curry,Tony Parker
2013-14,NBA,3rd,Al Jefferson,Paul George,LaMarcus Aldridge,Goran Dragi?,Damian Lillard
2012-13,NBA,1st,Tim Duncan,Kevin Durant,LeBron James,Kobe Bryant,Chris Paul
2012-13,NBA,2nd,Marc Gasol,Carmelo Anthony,Blake Griffin,Tony Parker,Russell Westbrook
2012-13,NBA,3rd,Dwight Howard,Paul George,David Lee,James Harden,Dwyane Wade
2011-12,NBA,1st,Dwight Howard,Kevin Durant,LeBron James,Kobe Bryant,Chris Paul
2011-12,NBA,2nd,Andrew Bynum,Blake Griffin,Kevin Love,Tony Parker,Russell Westbrook
2011-12,NBA,3rd,Tyson Chandler,Carmelo Anthony,Dirk Nowitzki,Rajon Rondo,Dwyane Wade
2010-11,NBA,1st,Dwight Howard,Kevin Durant,LeBron James,Kobe Bryant,Derrick Rose
2010-11,NBA,2nd,Amar'e Stoudemire,Pau Gasol,Dirk Nowitzki,Dwyane Wade,Russell Westbrook
2010-11,NBA,3rd,Al Horford,LaMarcus Aldridge,Zach Randolph,Manu Gin—bili,Chris Paul
2009-10,NBA,1st,Dwight Howard,Kevin Durant,LeBron James,Kobe Bryant,Dwyane Wade
2009-10,NBA,2nd,Amar'e Stoudemire,Carmelo Anthony,Dirk Nowitzki,Steve Nash,Deron Williams
2009-10,NBA,3rd,Andrew Bogut,Tim Duncan,Pau Gasol,Joe Johnson,Brandon Roy
2008-09,NBA,1st,Dwight Howard,LeBron James,Dirk Nowitzki,Kobe Bryant,Dwyane Wade
2008-09,NBA,2nd,Yao Ming,Tim Duncan,Paul Pierce,Chris Paul,Brandon Roy
2008-09,NBA,3rd,Shaquille O'Neal,Carmelo Anthony,Pau Gasol,Chauncey Billups,Tony Parker
2007-08,NBA,1st,Dwight Howard,Kevin Garnett,LeBron James,Kobe Bryant,Chris Paul
2007-08,NBA,2nd,Amar'e Stoudemire,Tim Duncan,Dirk Nowitzki,Steve Nash,Deron Williams
2007-08,NBA,3rd,Yao Ming,Carlos Boozer,Paul Pierce,Manu Gin—bili,Tracy McGrady
2006-07,NBA,1st,Amar'e Stoudemire,Tim Duncan,Dirk Nowitzki,Kobe Bryant,Steve Nash
2006-07,NBA,2nd,Yao Ming,Chris Bosh,LeBron James,Gilbert Arenas,Tracy McGrady
