Season,Lg,Tm,Position,Value
2019-20,NBA,1st,C,Anthony Davis
2019-20,NBA,1st,F,Giannis Antetokounmpo
2019-20,NBA,1st,F,LeBron James
2019-20,NBA,1st,G,James Harden
2019-20,NBA,1st,G,Luka Dončić
2019-20,NBA,2nd,C,Nikola Jokić
2019-20,NBA,2nd,F,Kawhi Leonard
2019-20,NBA,2nd,F,Pascal Siakam
2019-20,NBA,2nd,G,Damian Lillard
2019-20,NBA,2nd,G,Chris Paul
2019-20,NBA,3rd,C,Rudy Gobert
2019-20,NBA,3rd,F,Jayson Tatum
2019-20,NBA,3rd,F,Jimmy Butler
2019-20,NBA,3rd,G,Ben Simmons
2019-20,NBA,3rd,G,Russell Westbrook
2018-19,NBA,1st,C,Nikola Jokić
2018-19,NBA,1st,F,Giannis Antetokounmpo
2018-19,NBA,1st,F,Paul George
2018-19,NBA,1st,G,James Harden
2018-19,NBA,1st,G,Stephen Curry
2018-19,NBA,2nd,C,Joel Embiid
2018-19,NBA,2nd,F,Kevin Durant
2018-19,NBA,2nd,F,Kawhi Leonard
2018-19,NBA,2nd,G,Damian Lillard
2018-19,NBA,2nd,G,Kyrie Irving
2018-19,NBA,3rd,C,Rudy Gobert
2018-19,NBA,3rd,F,LeBron James
2018-19,NBA,3rd,F,Blake Griffin
2018-19,NBA,3rd,G,Kemba Walker
2018-19,NBA,3rd,G,Russell Westbrook
2017-18,NBA,1st,C,Anthony Davis
2017-18,NBA,1st,F,LeBron James
2017-18,NBA,1st,F,Kevin Durant
2017-18,NBA,1st,G,Damian Lillard
2017-18,NBA,1st,G,James Harden
2017-18,NBA,2nd,C,Joel Embiid
2017-18,NBA,2nd,F,Giannis Antetokounmpo
2017-18,NBA,2nd,F,LaMarcus Aldridge
2017-18,NBA,2nd,G,Russell Westbrook
2017-18,NBA,2nd,G,DeMar DeRozan
2017-18,NBA,3rd,C,Karl-Anthony Towns
2017-18,NBA,3rd,F,Jimmy Butler
2017-18,NBA,3rd,F,Paul George
2017-18,NBA,3rd,G,Stephen Curry
2017-18,NBA,3rd,G,Victor Oladipo
2016-17,NBA,1st,C,Anthony Davis
2016-17,NBA,1st,F,LeBron James
2016-17,NBA,1st,F,Kawhi Leonard
2016-17,NBA,1st,G,James Harden
2016-17,NBA,1st,G,Russell Westbrook
2016-17,NBA,2nd,C,Rudy Gobert
2016-17,NBA,2nd,F,Giannis Antetokounmpo
2016-17,NBA,2nd,F,Kevin Durant
2016-17,NBA,2nd,G,Stephen Curry
2016-17,NBA,2nd,G,Isaiah Thomas
2016-17,NBA,3rd,C,DeAndre Jordan
2016-17,NBA,3rd,F,Draymond Green
2016-17,NBA,3rd,F,Jimmy Butler
2016-17,NBA,3rd,G,John Wall
2016-17,NBA,3rd,G,DeMar DeRozan
2015-16,NBA,1st,C,DeAndre Jordan
2015-16,NBA,1st,F,LeBron James
2015-16,NBA,1st,F,Kawhi Leonard
2015-16,NBA,1st,G,Stephen Curry
2015-16,NBA,1st,G,Russell Westbrook
2015-16,NBA,2nd,C,DeMarcus Cousins
2015-16,NBA,2nd,F,Kevin Durant
2015-16,NBA,2nd,F,Draymond Green
2015-16,NBA,2nd,G,Chris Paul
2015-16,NBA,2nd,G,Damian Lillard
2015-16,NBA,3rd,C,Andre Drummond
2015-16,NBA,3rd,F,Paul George
2015-16,NBA,3rd,F,LaMarcus Aldridge
2015-16,NBA,3rd,G,Klay Thompson
2015-16,NBA,3rd,G,Kyle Lowry
2014-15,NBA,1st,C,Marc Gasol
2014-15,NBA,1st,F,LeBron James
2014-15,NBA,1st,F,Anthony Davis
2014-15,NBA,1st,G,Stephen Curry
2014-15,NBA,1st,G,James Harden
2014-15,NBA,2nd,C,DeMarcus Cousins
2014-15,NBA,2nd,F,Pau Gasol
2014-15,NBA,2nd,F,LaMarcus Aldridge
2014-15,NBA,2nd,G,Russell Westbrook
2014-15,NBA,2nd,G,Chris Paul
2014-15,NBA,3rd,C,DeAndre Jordan
2014-15,NBA,3rd,F,Blake Griffin
2014-15,NBA,3rd,F,Tim Duncan
2014-15,NBA,3rd,G,Klay Thompson
2014-15,NBA,3rd,G,Kyrie Irving
2013-14,NBA,1st,C,Joakim Noah
2013-14,NBA,1st,F,Kevin Durant
2013-14,NBA,1st,F,LeBron James
2013-14,NBA,1st,G,James Harden
2013-14,NBA,1st,G,Chris Paul
2013-14,NBA,2nd,C,Dwight Howard
2013-14,NBA,2nd,F,Blake Griffin
2013-14,NBA,2nd,F,Kevin Love
2013-14,NBA,2nd,G,Stephen Curry
2013-14,NBA,2nd,G,Tony Parker
2013-14,NBA,3rd,C,Al Jefferson
2013-14,NBA,3rd,F,Paul George
2013-14,NBA,3rd,F,LaMarcus Aldridge
2013-14,NBA,3rd,G,Goran Dragic
2013-14,NBA,3rd,G,Damian Lillard
2012-13,NBA,1st,C,Tim Duncan
2012-13,NBA,1st,F,Kevin Durant
2012-13,NBA,1st,F,LeBron James
2012-13,NBA,1st,G,Kobe Bryant
2012-13,NBA,1st,G,Chris Paul
2012-13,NBA,2nd,C,Marc Gasol
2012-13,NBA,2nd,F,Carmelo Anthony
2012-13,NBA,2nd,F,Blake Griffin
2012-13,NBA,2nd,G,Tony Parker
2012-13,NBA,2nd,G,Russell Westbrook
2012-13,NBA,3rd,C,Dwight Howard
2012-13,NBA,3rd,F,Paul George
2012-13,NBA,3rd,F,David Lee
2012-13,NBA,3rd,G,James Harden
2012-13,NBA,3rd,G,Dwyane Wade
2011-12,NBA,1st,C,Dwight Howard
2011-12,NBA,1st,F,Kevin Durant
2011-12,NBA,1st,F,LeBron James
2011-12,NBA,1st,G,Kobe Bryant
2011-12,NBA,1st,G,Chris Paul
2011-12,NBA,2nd,C,Andrew Bynum
2011-12,NBA,2nd,F,Blake Griffin
2011-12,NBA,2nd,F,Kevin Love
2011-12,NBA,2nd,G,Tony Parker
2011-12,NBA,2nd,G,Russell Westbrook
2011-12,NBA,3rd,C,Tyson Chandler
2011-12,NBA,3rd,F,Carmelo Anthony
2011-12,NBA,3rd,F,Dirk Nowitzki
2011-12,NBA,3rd,G,Rajon Rondo
2011-12,NBA,3rd,G,Dwyane Wade
2010-11,NBA,1st,C,Dwight Howard
2010-11,NBA,1st,F,Kevin Durant
2010-11,NBA,1st,F,LeBron James
2010-11,NBA,1st,G,Kobe Bryant
2010-11,NBA,1st,G,Derrick Rose
2010-11,NBA,2nd,C,Amar'e Stoudemire
2010-11,NBA,2nd,F,Pau Gasol
2010-11,NBA,2nd,F,Dirk Nowitzki
2010-11,NBA,2nd,G,Dwyane Wade
2010-11,NBA,2nd,G,Russell Westbrook
2010-11,NBA,3rd,C,Al Horford
2010-11,NBA,3rd,F,LaMarcus Aldridge
2010-11,NBA,3rd,F,Zach Randolph
2010-11,NBA,3rd,G,Manu Ginobili
2010-11,NBA,3rd,G,Chris Paul
2009-10,NBA,1st,C,Dwight Howard
2009-10,NBA,1st,F,Kevin Durant
2009-10,NBA,1st,F,LeBron James
2009-10,NBA,1st,G,Kobe Bryant
2009-10,NBA,1st,G,Dwyane Wade
2009-10,NBA,2nd,C,Amar'e Stoudemire
2009-10,NBA,2nd,F,Carmelo Anthony
2009-10,NBA,2nd,F,Dirk Nowitzki
2009-10,NBA,2nd,G,Steve Nash
2009-10,NBA,2nd,G,Deron Williams
2009-10,NBA,3rd,C,Andrew Bogut
2009-10,NBA,3rd,F,Tim Duncan
2009-10,NBA,3rd,F,Pau Gasol
2009-10,NBA,3rd,G,Joe Johnson
2009-10,NBA,3rd,G,Brandon Roy
2008-09,NBA,1st,C,Dwight Howard
2008-09,NBA,1st,F,LeBron James
2008-09,NBA,1st,F,Dirk Nowitzki
2008-09,NBA,1st,G,Kobe Bryant
2008-09,NBA,1st,G,Dwyane Wade
2008-09,NBA,2nd,C,Yao Ming
2008-09,NBA,2nd,F,Tim Duncan
2008-09,NBA,2nd,F,Paul Pierce
2008-09,NBA,2nd,G,Chris Paul
2008-09,NBA,2nd,G,Brandon Roy
2008-09,NBA,3rd,C,Shaquille O'Neal
2008-09,NBA,3rd,F,Carmelo Anthony
2008-09,NBA,3rd,F,Pau Gasol
2008-09,NBA,3rd,G,Chauncey Billups
2008-09,NBA,3rd,G,Tony Parker
2007-08,NBA,1st,C,Dwight Howard
2007-08,NBA,1st,F,Kevin Garnett
2007-08,NBA,1st,F,LeBron James
2007-08,NBA,1st,G,Kobe Bryant
2007-08,NBA,1st,G,Chris Paul
2007-08,NBA,2nd,C,Amar'e Stoudemire
2007-08,NBA,2nd,F,Tim Duncan
2007-08,NBA,2nd,F,Dirk Nowitzki
2007-08,NBA,2nd,G,Steve Nash
2007-08,NBA,2nd,G,Deron Williams
2007-08,NBA,3rd,C,Yao Ming
2007-08,NBA,3rd,F,Carlos Boozer
2007-08,NBA,3rd,F,Paul Pierce
2007-08,NBA,3rd,G,Manu Ginobili
2007-08,NBA,3rd,G,Tracy McGrady
2006-07,NBA,1st,C,Amar'e Stoudemire
2006-07,NBA,1st,F,Tim Duncan
2006-07,NBA,1st,F,Dirk Nowitzki
2006-07,NBA,1st,G,Kobe Bryant
2006-07,NBA,1st,G,Steve Nash
2006-07,NBA,2nd,C,Yao Ming
2006-07,NBA,2nd,F,Chris Bosh
2006-07,NBA,2nd,F,LeBron James
2006-07,NBA,2nd,G,Gilbert Arenas
2006-07,NBA,2nd,G,Tracy McGrady
2006-07,NBA,3rd,C,Dwight Howard
2006-07,NBA,3rd,F,Carmelo Anthony
2006-07,NBA,3rd,F,Kevin Garnett
2006-07,NBA,3rd,G,Chauncey Billups
2006-07,NBA,3rd,G,Dwyane Wade
2005-06,NBA,1st,C,Shaquille O'Neal
2005-06,NBA,1st,F,LeBron James
2005-06,NBA,1st,F,Dirk Nowitzki
2005-06,NBA,1st,G,Kobe Bryant
2005-06,NBA,1st,G,Steve Nash
2005-06,NBA,2nd,C,Ben Wallace
2005-06,NBA,2nd,F,Elton Brand
2005-06,NBA,2nd,F,Tim Duncan
2005-06,NBA,2nd,G,Chauncey Billups
2005-06,NBA,2nd,G,Dwyane Wade
2005-06,NBA,3rd,C,Yao Ming
2005-06,NBA,3rd,F,Carmelo Anthony
