index,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS_pct,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG_pct,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PPG,APG,RPG,SPG,was_traded,is_Center,is_Guard,is_Forward,All_NBA_Status
2,2021,Steven Adams,C,27,NOP,66.05555555555556,66.05555555555556,1827.9166666666667,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,2.6194444444444445,1.9361111111111111,4.555555555555555,0.119,-0.3,-0.5,-0.8,0.5694444444444444,215.25,350.77777777777777,0.614,0.0,3.4166666666666665,0.0,215.25,347.3611111111111,0.62,0.614,68.33333333333333,153.75,0.444,242.58333333333334,342.80555555555554,585.3888888888889,126.41666666666667,61.5,43.27777777777778,88.83333333333333,128.69444444444446,498.8333333333333,7.551724137931035,1.9137931034482758,0.6551724137931034,0.9310344827586207,0,1,0,0,0.0
3,2021,Bam Adebayo,C,23,MIA,72.88888888888889,72.88888888888889,2440.6388888888887,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,6.377777777777777,3.644444444444445,10.022222222222222,0.197,2.9,1.9,4.7,4.1,519.3333333333334,911.1111111111111,0.57,2.2777777777777777,9.11111111111111,0.25,517.0555555555555,902.0,0.573,0.571,322.30555555555554,403.1666666666667,0.799,161.72222222222223,490.8611111111111,652.5833333333334,394.05555555555554,85.41666666666667,75.16666666666667,192.47222222222223,165.13888888888889,1363.25,18.703125,5.40625,1.03125,1.171875,0,1,0,0,1.0
4,2021,LaMarcus Aldridge,C,35,TOT,29.61111111111111,26.194444444444443,767.6111111111111,15.7,0.556,0.27,0.159,3.0,15.8,9.4,11.0,0.8,3.7,7.9,22.2,0.5694444444444444,0.6833333333333332,1.2527777777777778,0.08,-0.2,-0.4,-0.6,0.2277777777777778,159.44444444444446,337.1111111111111,0.473,35.30555555555556,91.11111111111111,0.388,124.13888888888889,246.0,0.505,0.525,46.69444444444444,53.52777777777778,0.872,21.63888888888889,112.75,134.38888888888889,55.80555555555556,12.527777777777779,33.02777777777778,30.75,53.52777777777778,400.8888888888889,13.538461538461538,1.8846153846153846,1.1153846153846154,0.4230769230769231,1,1,0,0,0.0
10,2021,Jarrett Allen,C,22,TOT,71.75,51.25,2122.8888888888887,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,4.897222222222222,2.391666666666667,7.28888888888889,0.166,1.4,-0.4,0.9,1.5944444444444443,339.3888888888889,548.9444444444445,0.618,6.833333333333333,21.63888888888889,0.316,332.55555555555554,527.3055555555555,0.631,0.624,232.33333333333334,330.27777777777777,0.703,223.22222222222223,495.4166666666667,718.6388888888889,120.72222222222223,36.44444444444444,102.5,113.88888888888889,109.33333333333333,917.9444444444445,12.793650793650794,1.6825396825396826,1.4285714285714286,0.5079365079365079,1,1,0,0,0.0
29,2021,Deandre Ayton,C,22,PHO,78.58333333333333,78.58333333333333,2408.75,20.3,0.653,0.029,0.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,6.0361111111111105,3.530555555555556,9.566666666666668,0.191,0.9,0.0,0.9,1.8222222222222224,489.72222222222223,782.4166666666666,0.626,4.555555555555555,22.77777777777778,0.2,485.1666666666667,759.6388888888889,0.639,0.629,151.47222222222223,197.02777777777777,0.769,259.6666666666667,568.3055555555555,827.9722222222222,112.75,46.69444444444444,92.25,117.30555555555556,223.22222222222223,1135.4722222222222,14.44927536231884,1.434782608695652,1.173913043478261,0.5942028985507246,0,1,0,0,0.0
30,2021,Udoka Azubuike,C,21,UTA,17.083333333333332,0.0,64.91666666666667,10.3,0.597,0.0,1.111,7.8,16.0,12.1,0.0,0.9,5.7,18.3,12.4,0.0,0.1138888888888889,0.1138888888888889,0.119,-5.6,0.7,-4.9,0.0,4.555555555555555,10.25,0.444,0.0,0.0,,4.555555555555555,10.25,0.444,0.444,9.11111111111111,11.38888888888889,0.8,4.555555555555555,10.25,14.805555555555555,0.0,1.1388888888888888,4.555555555555555,3.4166666666666665,10.25,18.22222222222222,1.0666666666666667,0.0,0.26666666666666666,0.06666666666666667,0,1,0,0,0.0
35,2021,Mo Bamba,C,22,ORL,52.388888888888886,5.694444444444445,825.6944444444445,19.3,0.556,0.392,0.219,10.5,28.0,19.0,8.1,0.9,7.3,9.8,21.8,0.7972222222222222,1.2527777777777778,2.05,0.117,0.1,-0.1,0.0,0.4555555555555556,161.72222222222223,342.80555555555554,0.472,43.27777777777778,134.38888888888889,0.322,118.44444444444444,208.41666666666666,0.568,0.535,51.25,75.16666666666667,0.682,86.55555555555556,215.25,301.80555555555554,39.861111111111114,15.944444444444445,66.05555555555556,41.0,99.08333333333333,417.97222222222223,7.978260869565218,0.7608695652173914,1.2608695652173914,0.30434782608695654,0,1,0,0,0.0
42,2021,Aron Baynes,C,34,TOR,60.361111111111114,35.30555555555556,1116.111111111111,10.5,0.503,0.339,0.135,9.4,21.7,15.3,7.0,0.8,2.3,12.5,16.2,0.1138888888888889,1.025,1.1388888888888888,0.049,-3.5,-1.3,-4.7,-0.7972222222222222,152.61111111111111,346.22222222222223,0.441,30.75,117.30555555555556,0.262,121.86111111111111,228.91666666666666,0.532,0.485,33.02777777777778,46.69444444444444,0.707,99.08333333333333,211.83333333333334,310.9166666666667,53.52777777777778,19.36111111111111,26.194444444444443,52.388888888888886,135.52777777777777,369.0,6.113207547169812,0.8867924528301887,0.4339622641509434,0.32075471698113206,0,1,0,0,0.0
47,2021,Jordan Bell,C,26,TOT,6.833333333333333,1.1388888888888888,93.38888888888889,8.0,0.328,0.091,0.091,9.1,21.9,15.5,10.6,1.7,5.2,14.9,13.6,-0.1138888888888889,0.1138888888888889,0.0,-0.008,-5.2,-0.4,-5.6,-0.1138888888888889,7.972222222222222,25.055555555555557,0.318,0.0,2.2777777777777777,0.0,7.972222222222222,22.77777777777778,0.35,0.318,1.1388888888888888,2.2777777777777777,0.5,7.972222222222222,19.36111111111111,27.333333333333332,7.972222222222222,3.4166666666666665,5.694444444444445,4.555555555555555,7.972222222222222,17.083333333333332,2.5,1.1666666666666667,0.8333333333333334,0.5,1,1,0,0,0.0
55,2021,Khem Birch,C,28,TOT,76.30555555555556,25.055555555555557,1741.361111111111,15.1,0.552,0.137,0.339,11.6,15.3,13.4,8.5,1.5,3.1,9.2,13.6,2.6194444444444445,1.5944444444444443,4.3277777777777775,0.118,-1.0,-0.3,-1.3,0.3416666666666666,215.25,432.77777777777777,0.497,14.805555555555555,59.22222222222222,0.25,200.44444444444446,373.55555555555554,0.537,0.514,103.63888888888889,146.91666666666666,0.705,198.16666666666666,242.58333333333334,440.75,101.36111111111111,54.666666666666664,56.94444444444444,50.111111111111114,128.69444444444446,548.9444444444445,7.1940298507462686,1.328358208955224,0.746268656716418,0.7164179104477612,1,1,0,0,0.0
