index,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS_pct,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG_pct,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PPG,APG,RPG,SPG,was_traded,is_Center,is_Guard,is_Forward,All_NBA_Status
1,2021,Jaylen Adams,PG,24,MIL,7.972222222222222,0.0,20.5,-6.5,0.125,0.25,0.0,0.0,16.9,8.8,12.7,0.0,0.0,0.0,18.6,-0.1138888888888889,0.0,-0.1138888888888889,-0.252,-14.9,-5.0,-19.8,-0.1138888888888889,1.1388888888888888,9.11111111111111,0.125,0.0,2.2777777777777777,0.0,1.1388888888888888,6.833333333333333,0.167,0.125,0.0,0.0,,0.0,3.4166666666666665,3.4166666666666665,2.2777777777777777,0.0,0.0,0.0,1.1388888888888888,2.2777777777777777,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0,1,0,0.0
7,2021,Ty-Shon Alexander,SG,22,PHO,17.083333333333332,0.0,53.52777777777778,4.2,0.349,0.75,0.167,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,-0.1138888888888889,0.0,0.0,-0.048,-5.3,-1.6,-6.8,-0.1138888888888889,3.4166666666666665,13.666666666666666,0.25,2.2777777777777777,10.25,0.222,1.1388888888888888,3.4166666666666665,0.333,0.333,1.1388888888888888,2.2777777777777777,0.5,2.2777777777777777,9.11111111111111,11.38888888888889,6.833333333333333,0.0,1.1388888888888888,3.4166666666666665,2.2777777777777777,10.25,0.6,0.4,0.06666666666666667,0.0,0,0,1,0,0.0
8,2021,Nickeil Alexander-Walker,SG,22,NOP,52.388888888888886,14.805555555555555,1146.861111111111,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3416666666666666,1.1388888888888888,0.7972222222222222,0.035,-1.4,-0.2,-1.6,0.1138888888888889,218.66666666666666,521.6111111111111,0.419,86.55555555555556,249.41666666666666,0.347,132.11111111111111,272.19444444444446,0.485,0.502,54.666666666666664,75.16666666666667,0.727,14.805555555555555,149.19444444444446,164.0,116.16666666666667,53.52777777777778,25.055555555555557,78.58333333333333,100.22222222222223,578.5555555555555,11.043478260869565,2.217391304347826,0.4782608695652174,1.0217391304347827,0,0,1,0,0.0
9,2021,Grayson Allen,SG,25,MEM,56.94444444444444,43.27777777777778,1433.861111111111,12.8,0.586,0.662,0.22,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,1.7083333333333333,1.3666666666666665,3.075,0.101,-0.4,-0.1,-0.5,0.5694444444444444,197.02777777777777,471.5,0.418,121.86111111111111,312.05555555555554,0.391,75.16666666666667,159.44444444444446,0.471,0.547,89.97222222222223,103.63888888888889,0.868,21.63888888888889,160.58333333333334,182.22222222222223,123.0,52.388888888888886,9.11111111111111,54.666666666666664,80.86111111111111,605.8888888888889,10.64,2.16,0.16,0.92,0,0,1,0,0.0
21,2021,Cole Anthony,PG,20,ORL,53.52777777777778,38.72222222222222,1449.8055555555557,12.1,0.496,0.312,0.237,3.0,15.4,9.0,24.2,1.1,1.3,14.8,24.3,-1.025,1.025,0.0,-0.001,-2.0,-1.3,-3.3,-0.4555555555555556,249.41666666666666,628.6666666666666,0.397,66.05555555555556,195.88888888888889,0.337,183.36111111111111,432.77777777777777,0.424,0.449,124.13888888888889,149.19444444444446,0.832,43.27777777777778,208.41666666666666,251.69444444444446,218.66666666666666,34.166666666666664,20.5,120.72222222222223,111.61111111111111,689.0277777777778,12.872340425531915,4.085106382978723,0.3829787234042553,0.6382978723404256,0,0,1,0,0.0
23,2021,Ryan Arcidiacono,PG,26,CHI,50.111111111111114,0.0,512.5,9.8,0.541,0.573,0.171,1.2,15.1,8.3,16.3,1.0,0.0,7.4,13.1,0.5694444444444444,0.4555555555555556,1.025,0.093,-2.7,0.2,-2.5,-0.1138888888888889,55.80555555555556,133.25,0.419,28.47222222222222,76.30555555555556,0.373,27.333333333333332,56.94444444444444,0.48,0.526,14.805555555555555,22.77777777777778,0.65,5.694444444444445,70.61111111111111,76.30555555555556,63.77777777777778,10.25,0.0,11.38888888888889,53.52777777777778,154.88888888888889,3.090909090909091,1.2727272727272727,0.0,0.20454545454545456,0,0,1,0,0.0
25,2021,D.J. Augustin,PG,33,TOT,64.91666666666667,13.666666666666666,1285.8055555555557,12.1,0.57,0.633,0.274,1.9,7.0,4.4,22.2,1.2,0.1,14.5,16.8,1.7083333333333333,0.5694444444444444,2.391666666666667,0.088,-0.5,-1.6,-2.1,0.0,153.75,390.6388888888889,0.394,94.52777777777777,247.13888888888889,0.382,59.22222222222222,143.5,0.413,0.515,96.80555555555556,107.05555555555556,0.904,22.77777777777778,84.27777777777777,107.05555555555556,214.11111111111111,31.88888888888889,1.1388888888888888,74.02777777777777,63.77777777777778,498.8333333333333,7.684210526315789,3.2982456140350878,0.017543859649122806,0.49122807017543857,1,0,1,0,0.0
31,2021,Dwayne Bacon,SG,25,ORL,82.0,56.94444444444444,2110.3611111111113,9.9,0.49,0.285,0.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,-0.3416666666666666,1.025,0.5694444444444444,0.013,-3.5,-1.6,-5.1,-1.5944444444444443,332.55555555555554,826.8333333333334,0.402,67.19444444444444,235.75,0.285,265.3611111111111,591.0833333333334,0.449,0.443,165.13888888888889,200.44444444444446,0.824,35.30555555555556,219.80555555555554,255.11111111111111,105.91666666666667,51.25,5.694444444444445,52.388888888888886,117.30555555555556,897.4444444444445,10.944444444444445,1.2916666666666667,0.06944444444444445,0.625,0,0,1,0,0.0
33,2021,LaMelo Ball,PG,19,CHO,58.083333333333336,35.30555555555556,1673.0277777777778,17.5,0.539,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,1.1388888888888888,2.1638888888888888,3.1888888888888887,0.093,1.2,0.6,1.9,1.5944444444444443,333.69444444444446,765.3333333333334,0.436,104.77777777777777,297.25,0.352,228.91666666666666,468.0833333333333,0.489,0.504,142.36111111111111,187.91666666666666,0.758,71.75,272.19444444444446,343.94444444444446,356.47222222222223,92.25,20.5,165.13888888888889,154.88888888888889,914.5277777777778,15.745098039215685,6.137254901960785,0.35294117647058826,1.588235294117647,0,0,1,0,0.0
34,2021,Lonzo Ball,PG,23,NOP,62.638888888888886,62.638888888888886,1989.638888888889,15.2,0.551,0.65,0.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,1.7083333333333333,1.9361111111111111,3.644444444444445,0.089,1.4,0.2,1.6,1.8222222222222224,330.27777777777777,797.2222222222222,0.414,195.88888888888889,518.1944444444445,0.378,134.38888888888889,279.02777777777777,0.482,0.537,56.94444444444444,72.88888888888889,0.781,37.583333333333336,261.94444444444446,299.52777777777777,359.8888888888889,93.38888888888889,35.30555555555556,140.08333333333334,117.30555555555556,913.3888888888889,14.581818181818182,5.745454545454545,0.5636363636363636,1.490909090909091,0,0,1,0,0.0
